nome,tipo,indirizzo_stradale,comune,provincia,cap,lat,lon
"Ristorante Bar Senzanome","restaurant","Piazzale Porto","Pacengo","Verona","37010","45.467906","10.7132362"
"La Forgia","restaurant","Calle Seconda","Lazise","Verona","37017","45.5056689","10.7314975"
"Girasole","restaurant","Via Zappo","Lazise","Verona","37017","45.4989475","10.7453093"
"Hotel Pinamonte","restaurant","Via Don A. Zamperoli","Costermano sul Garda","Verona","37010","45.5869482","10.7429176"
"Trattoria Miralago","restaurant","Via Maoni Bassi","Marciaga","Verona","37010","45.58487","10.7309076"
"La Cross","restaurant","Via della Pace","Garda","Verona","37016","45.5794989","10.7200664"
"Morsi&Sorsi","restaurant","Gardesana Orientale","Lazise","Verona","37017","45.5023866","10.7358107"
"Speck Stube","restaurant","Via Croce","Bardolino","Verona","37011","45.5476496","10.7244678"
"","restaurant","Via San Colombano","Bardolino","Verona","37011","45.5526488","10.7219643"
"Ristorante Tregnago","restaurant","Via Campitelli","Montecchia di Crosara","Verona","37030","45.4641286","11.2832588"
"Mandolara","restaurant","Via San Bernardo","Garda","Verona","37016","45.5731594","10.7105299"
"Vecchia Malcesine","restaurant","Via Pisort","Malcesine","Verona","37018","45.7624071","10.8080194"
"La Virata","restaurant","Via Fosse","Bardolino","Verona","37011","45.5475629","10.7223153"
"Al Vogaor","restaurant","Via Gardesana","Cassone","Verona","37018","45.734784","10.7901962"
